0	1	I	eps
0	3	V	eps
0	6	X	eps
0	8	X	1
0	8	L 	5
0	9	L 	eps
0 	12	C	eps
0 	14	C	1
0 	14	D	5
0 	15	D	eps
0 	19	M 	eps
0 	21	M 	1
1	2	I	eps
1	29	eps	1
1	29	V	4
1	29	X	9
2	29	eps	2
2	29	I	3
3	4	I	eps
3	29	eps	5
4	5	I	eps
4	29	eps	6
5	29	eps	7
5	29	I	8
6	7	X	eps
6	8	X	2
6	8	L 	4
6	8	C	9
7	8	X	3
8	1	I	eps
8	3	V	eps
8	29	eps	0
9	8	X	6
9	10	X	eps
10	8	X	7
10	11	X	eps
11	8	X	8
12	13	C	eps
12	14	C	2
12	14	D	4
12	14	M 	9
13	14	C	3
14	1 	I	0
14	3 	V	0
14	6	X	eps
14	8	X	1
14	8	L 	5
14	9	L 	eps
14	15	eps	0
15	29	eps 0
16	14	C	6
16	16	C	eps
17	14	C	7
17	17	C	eps
18	14	C	8
19	20	M 	eps
19	21	M 	2
20	21	M 	3
21	6 	X	0
21	9	L 	0
21	12	C	eps
21	14	C	1
21	14	D	5
21	15	D	eps
21	22	I	0
21	23	V	0
21	24	X	0
21	25	L 	0
21	27	eps	0
22	1 	eps	0
23	3 	eps	0
24	8 	eps	1
25	8 	eps	5
27	28	eps	0
28	29	eps	0
29
